count	term_name	term_id	organism	is_a	part_of	transformed_from	comments
2	hematopoietic cell	BTO:0000574	human		blood		
6	bronchoalveolar stem cell	BTO:0001245	human	stem cell	lung		
4	myoblast	CL:0000056	human		muscle		
19	osteoblast	CL:0000062	human		bone		
21	astrocyte	CL:0000127	human	macroglial cell	brain		
2	skeletal muscle cell	CL:0000188	human		skeletal muscle		
13	B cell	CL:0000236	human	lymphocyte	blood		
5	trophoblast	CL:0000351	human		embryonic structure		
23	skeletal muscle myoblast	CL:0000515	human	myoblast	skeletal muscle		
5	T-helper 1 cell	CL:0000545	human	helper T cell	blood		
4	pericyte cell	CL:0000669	human		blood vessel		Need to split this to brain and placental pericytes
8	striated muscle cell	CL:0000737	human	skeletal myocyte	muscle		
1	naive B cell	CL:0000788	human	B cell	blood		
4	hematopoietic multipotent progenitor cell	CL:0000837	human		blood		
8	mononuclear cell	CL:0000842	human		blood		
1	helper T-lymphocyte	CL:0000899	human	helper T cell	blood		
1	pulmonary interstitial fibroblast	CL:0002241	human	fibroblast	lung		
7	neural cell	CL:0002319	human	in vitro differentiated cell			in vitro differentiated, so no organ
38	embryonic stem cell	CL:0002322	human	stem cell	embryonic structure		
22	myotube	CL:0002372	human	myoblast	skeletal muscle		
4	fibroblast of lung	CL:0002553	human	fibroblast	lung		
3	mesenchymal stem cell of adipose	CL:0002570	human	stem cell	adipose tissue		
3	subcutaneous preadipocyte	CL:0002583	human	fibroblast	adipose tissue		
1	uterine smooth muscle cell	CL:0002601	human		muscle		
1	epithelial cell of nasal part of viscerocranial mucosa	CL:0002648	human	epithelial cell	ecto-epithelial mucosa		
2	foreskin fibroblast	CL:1001608	human	fibroblast	foreskin		
2	chronic lymphocytic leukemia cell	EFO:0000095	human	lymphocytic leukemia	blood	B cells	
14	T-cell acute lymphoblastic leukemia cell	EFO:0000209	human	T-cell leukemia cell line	blood	T cells	
27	GM12891	EFO:0000322	human	lymphoblastoid cell line	blood	B cells	
5	glioblastoma multiforme	EFO:0000519	human	glioblastoma cell line	brain		
113	A549	EFO:0001086	human	adenocarcinoma cell line	lung	alveolar epithelium	
11	Caco-2	EFO:0001099	human	adenocarcinoma cell line	large intestine	colonic epithelium	
6	GM12812	EFO:0001155	human	lymphoblastoid cell line	blood	B cells	
6	GM12813	EFO:0001156	human	lymphoblastoid cell line	blood	B cells	
2	GM12872	EFO:0001159	human	lymphoblastoid cell line	blood	B cells	
2	GM12873	EFO:0001160	human	lymphoblastoid cell line	blood	B cells	
2	GM12874	EFO:0001161	human	lymphoblastoid cell line	blood	B cells	
3	GM12875	EFO:0001162	human	lymphoblastoid cell line	blood	B cells	
19	HEK293	EFO:0001182	human	kidney cell line	kidney	unknown	not clear what these really are, maybe neuronal origin
156	HepG2	EFO:0001187	human	carcinoma cell line	liver	hepatocyte	
41	IMR-90	EFO:0001196	human	fibroblast	lung		model for smooth muscle cells
6	MCF-10A cell	EFO:0001200	human	adenocarcinoma cell line	breast	mammary epithelium	
98	MCF-7	EFO:0001203	human	adenocarcinoma cell line	breast	mammary epithelium	
17	T47D	EFO:0001247	human	adenocarcinoma cell line	breast	mammary epithelium	
9	WI38	EFO:0001260	human	fibroblast	lung		
1	HT-1080	EFO:0002059	human	fibrosarcoma	connective tissue		
302	K562	EFO:0002067	human	myeloid leukemia cell line	blood	erythroblasts	
7	BE2C	EFO:0002114	human	neuroblastoma cell line	brain	neuron	
4	melanoma cell line	EFO:0002140	human	melanoma cell line	skin of body		Includes three different cell lines from E2?  Colo829, Mel_2183, RPMI-7951
1	prostate gland epithelium	EFO:0002323	human	epithelial cell	prostate gland		
2	RAJI cell	EFO:0002324	human	Burkitt's lymphoma cell line	blood	B cells	
22	PANC1	EFO:0002713	human	adenocarcinoma cell line	pancreas	pancreatic ductal epithelium	
2	SH-SY5Y cell	EFO:0002717	human	neuroblastoma cell line	brain	neuron	
19	BJ	EFO:0002779	human	fibroblast	foreskin		
18	GM06990	EFO:0002783	human	lymphoblastoid cell line	blood	B cells	
197	GM12878	EFO:0002784	human	lymphoblastoid cell line	blood	B cells	
18	GM12892	EFO:0002786	human	lymphoblastoid cell line	blood	B cells	
3	GM18507	EFO:0002787	human	lymphoblastoid cell line	blood	B cells	
3	GM19238	EFO:0002788	human	lymphoblastoid cell line	blood	B cells	
4	GM19240	EFO:0002790	human	lymphoblastoid cell line	blood	B cells	
128	HeLa-S3	EFO:0002791	human	adenocarcinoma cell line	uterus	cervical epithelium	
13	HL-60	EFO:0002793	human	promyelocytic leukemia cell line	blood	promyeloblast	
7	Jurkat	EFO:0002796	human	T-cell leukemia cell line	blood	T cells	
13	NB4	EFO:0002798	human	promyelocytic leukemia cell line	blood	promyeloblast	
39	HCT116	EFO:0002824	human	adenocarcinoma cell line	large intestine	colonic epithelium	
10	SK-N-MC	EFO:0002860	human	neuroepithelioma cell line	brain	neuron	
5	osteosarcoma cell	EFO:0002869	human	osteosarcoma cell line	bone	osteoblast	
5	medulloblastoma cell line	EFO:0002939	human	medulloblastoma cell line	brain		Same as primitive neuroectodermal tumor cell line, probably
5	CMK	EFO:0003037	human	megakaryoblastic leukemia cell line	bone	megakaryocyte	
118	H1-hESC	EFO:0003042	human	stem cell	embryonic structure		
1	NCI-H460	EFO:0003044	human	carcinoma cell line	lung	lung epithelial cell	
3	OVCAR-3	EFO:0003061	human	ovarian carcinoma cell line	gonad	ovarian epithelium	
87	SK-N-SH	EFO:0003072	human	neuroblastoma cell line	brain	neuron	
2	notochord	EFO:0004389	human		embryonic structure		I can't find this in EFO.  I think it should be UBERON:0002328
10	induced pluripotent stem cell	EFO:0004905	human	stem cell			
31	ECC-1 cell	EFO:0005231	human	adenocarcinoma cell line	uterus	endometrial epithelium	
11	PFSK-1	EFO:0005234	human	primitive neuroectodermal tumor cell line	brain	primitive neuroepithelium	
14	NT2/D1 cell	EFO:0005236	human	embryonic stem cell line	gonad	embryonal testes	
7	U-87 MG	EFO:0005237	human	astrocytoma cell line	brain	astrocyte	
1	SJCRH30	NTR:0000557	human	rhabdomyosarcoma cell line	muscle		
1	SK-MEL-5	NTR:0000570	human	melanoma cell line	skin of body		
1	SK-N-DZ	NTR:0000571	human	neuroblastoma cell line	brain	neuron	
1	HS-27A	NTR:0000701	human	stromal cell line	bone		
14	LNCaP clone FGC	NTR:0000702	human	carcinoma cell line	prostate gland	prostate epithelium	
3	articular chondrocyte of knee joint	NTR:0000716	human	chondrocyte	cartilage		
1	bladder microvascular endothelial cell	NTR:0000717	human	endothelial cell	blood vessel		
10	dermal microvascular endothelial cell	NTR:0000725	human		blood vessel		
2	vascular endothelial cell	NTR:0000725	human		blood vessel		
1	dermis blood vessel endothelial cell	NTR:0000725	human	endothelial cell	blood vessel		
1	dermis lymphatic vessel endothelial cell	NTR:0000726	human	endothelial cell	blood vessel		
1	dermis microvascular lymphatic vessel endothelial cell	NTR:0000727	human	endothelial cell	blood vessel		
1	endothelial cell of coronary artery	NTR:0000729	human	endothelial cell	blood vessel		
8	fibroblast of pedal digit skin	NTR:0000732	human	fibroblast	skin of body		
8	fibroblast of skin of abdomen	NTR:0000733	human	fibroblast	skin of body		
8	fibroblast of upper leg skin	NTR:0000734	human	fibroblast	skin of body		
6	HGPS cell	NTR:0000735	human	fibroblast	skin of body		
5	lung microvascular endothelial cell	NTR:0000737	human		blood vessel		
8	RPTEC	NTR:0000740	human	renal proximal tubule epithelial cell	kidney		
1	T-helper 0 cell	NTR:0000743	human	helper T cell	blood		
1	H7-hESC	NTR:0000837	human	stem cell	embryonic structure		
4	HuH-7 cell	NTR:0000880	human	hepatocarcinoma cell line	liver	hepatic epithelium	
2	Ishikawa	NTR:0000885	human	endometrial carcinoma	uterus	endometrial epithelium	
4	melanocyte	NTR:0000886	human	epidermal melanocyte	skin of body		
5	WERI-Rb-1	NTR:0000887	human	retinoblastoma cell line	retina		
1	umbilical cord blood cell	NTR:0000888	human		blood		
4	LHCN-M2 cell	NTR:0000889	human	skeletal myoblast	skeletal muscle	myosatellite cells	
2	8988T	NTR:0000890	human	pancreatic adenocarcinoma cell line	pancreas		
